pitch_type,game_date,balls,strikes,outs_when_up,inning,at_bat_number,pitch_number,pitcher_days_since_prev_game,run_diff,runners_on,prev_release_speed,prev_release_spin_rate,prev_pitch_type_FF,prev_pitch_type_FS,prev_pitch_type_SI,prev_pitch_type_SL,stand_L,stand_R,p_throws_R
FS,2025-10-20,0.9487247641998899,1.0046577896260382,-1.2534601889308965,7,1.6646983009596514,1.5206625568315355,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,-1.305618379804769,0.7761266329934414,False,False,False,True,False,True,True
FS,2025-10-20,0.9487247641998899,1.0046577896260382,-1.2534601889308965,7,1.6646983009596514,2.1561633268506846,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,-0.9043939964566526,-0.8510177326751714,False,True,False,False,False,True,True
FF,2025-10-20,2.0168694287885773,1.0046577896260382,-1.2534601889308965,7,1.6646983009596514,2.791664096869834,-3.44002905887928,-1.0823358864560708,-0.6716308845415353,-0.8470762274069226,-1.5336702539039573,False,True,False,False,False,True,True
FS,2025-10-20,-1.1875645649774846,-0.37634459355255023,-1.2534601889308965,7,1.7297222258602876,-1.0213405232450612,-3.44002905887928,-1.0823358864560708,0.6295018258224051,0.8915627671015736,0.4425932093793771,True,False,False,False,False,True,True
FF,2025-10-20,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,7,1.8597700756615603,-1.0213405232450612,-3.44002905887928,-1.0823358864560708,0.666654463379961,1.1972575353668053,1.041083091004614,True,False,False,False,True,False,True
FS,2025-10-20,0.9487247641998899,-1.7573469767311387,1.2255520542061398,7,1.8597700756615603,-0.3858397532259121,-3.44002905887928,-1.0823358864560708,0.666654463379961,1.2163634583833811,0.8166493853951501,True,False,False,False,True,False,True
FF,2025-10-20,2.0168694287885773,-1.7573469767311387,1.2255520542061398,7,1.8597700756615603,0.24966101679323716,-3.44002905887928,-1.0823358864560708,0.666654463379961,-0.7897584583571924,-0.8853062154766173,False,True,False,False,True,False,True
FS,2025-10-20,-0.11941990038879732,-1.7573469767311387,1.2255520542061398,7,1.9247940005621964,-1.0213405232450612,-3.44002905887928,-1.0823358864560708,1.9718238382609008,-0.9234999194732312,-2.0916373831274853,False,True,False,False,True,False,True
FS,2025-10-20,-0.11941990038879732,-0.37634459355255023,1.2255520542061398,7,1.9247940005621964,-0.3858397532259121,-3.44002905887928,-1.0823358864560708,1.9718238382609008,-0.9426058424898069,-1.468210423101197,False,True,False,False,True,False,True
FS,2025-10-20,0.9487247641998899,-0.37634459355255023,1.2255520542061398,7,1.9247940005621964,0.24966101679323716,-3.44002905887928,-1.0823358864560708,1.9718238382609008,-1.1145591496390002,-0.7762064974720169,False,True,False,False,True,False,True
